week,ID,R,Y,G,W,P,M,plants,aphids_per_click,fungus_present,plants_no_growth,spider_contam,ptoid_contam,mummy_contam,aphids_extinct,ptoids_extinct,ptoids_added
11,14YP,0,0,0,0,4,1,8,1,0,0,0,0,0,1,0,0
11,15GP,,,,,,,,,,,,,,1,1,0
11,16RYG,28,70,29,0,0,0,4,5,0,0,0,0,0,0,0,0
11,17RYGP,1,2,0,0,2,3,8,1,0,0,0,0,0,0,0,0
11,18RP,0,0,0,0,0,0,8,1,1,0,0,0,0,1,1,0
11,19YP,0,143,0,0,160,190,4,5,0,0,0,0,0,0,0,0
11,20GP,0,0,0,0,3,0,8,1,1,0,0,0,0,1,0,0
11,21RYG,39,95,43,0,0,0,4,5,0,0,0,0,0,0,0,0
11,22RYGP,2,0,0,0,3,2,8,1,1,0,0,0,0,0,0,0
11,23RP,,,,,,,,,,,,,,1,1,0
11,24YP,0,0,0,0,0,0,8,1,1,0,0,0,0,1,1,0
11,25GP,0,0,0,0,2,0,8,1,0,0,0,0,0,1,0,0
11,26RYG,52,41,45,3,0,0,4,5,1,0,0,0,0,0,0,0
